user_id,session_id,timestamp,interaction_type,query_length,response_time,user_rating,error_occurred,industry,location,subscription_level
19,119,1/26/2024 17:06,feedback,99,1.004007855,2,TRUE,finance,"Kevinstad, Russian Federation",free
20,171,2/23/2024 17:57,query,60,2.473405165,3,FALSE,finance,"West Seanfort, Solomon Islands",enterprise
21,103,7/16/2024 15:03,error,10,1.198829054,5,FALSE,finance,"West Jessica, Indonesia",premium
22,117,9/3/2024 6:49,query,61,1.19676458,1,TRUE,education,"Lake Susan, Italy",premium
23,130,6/15/2024 22:24,error,63,2.114505175,2,TRUE,healthcare,"Mooreview, Aruba",premium
24,193,8/15/2024 19:46,error,33,2.004338786,5,FALSE,healthcare,"Christopherborough, Fiji",enterprise
25,170,2/2/2024 10:38,error,65,1.155022199,4,FALSE,healthcare,"South Nathan, Bolivia",free
26,158,1/18/2024 3:25,query,88,2.257813411,2,FALSE,education,"Cunninghamstad, Mexico",free
27,153,3/30/2024 3:33,query,66,2.834596883,3,FALSE,healthcare,"Johnport, Congo",premium
28,188,5/22/2024 22:07,feedback,65,2.887872975,4,TRUE,education,"Leefurt, French Southern Territories",enterprise
29,147,2/22/2024 16:43,query,41,1.933717553,1,TRUE,finance,"West Donna, Somalia",premium
30,113,6/18/2024 20:53,feedback,85,2.788446603,4,FALSE,healthcare,"Sanchezport, Costa Rica",premium
31,131,7/3/2024 7:03,error,11,2.801262642,3,TRUE,healthcare,"Gutierrezmouth, Morocco",free
32,145,5/31/2024 18:35,error,88,2.519828785,1,TRUE,finance,"Chrisport, Japan",free
33,181,3/6/2024 13:04,query,26,1.796921312,2,FALSE,healthcare,"Thomasport, Nicaragua",free
34,147,8/11/2024 23:05,feedback,44,2.480787935,2,TRUE,education,"Oscarside, Lao People's Democratic Republic",premium
35,174,6/27/2024 13:09,query,37,1.084813871,5,TRUE,healthcare,"Lake Elizabeth, Guam",free
36,191,2/6/2024 12:31,feedback,86,2.449730818,3,TRUE,education,"Alexanderberg, Papua New Guinea",premium
37,103,1/14/2024 22:53,feedback,50,1.252253157,2,FALSE,healthcare,"Snyderbury, Cook Islands",enterprise
38,155,2/11/2024 10:13,error,13,1.097451672,2,FALSE,healthcare,"Luisborough, Namibia",premium
39,111,3/15/2024 11:12,query,26,1.683138075,3,TRUE,finance,"South David, Antarctica (the territory South of 60 deg S)",free
40,191,6/16/2024 19:33,feedback,71,1.370858638,2,TRUE,finance,"West Allison, Netherlands",premium
41,197,5/7/2024 16:54,query,29,2.343207139,1,FALSE,healthcare,"Andersonside, Djibouti",enterprise
42,124,3/4/2024 11:11,query,34,2.888883159,5,FALSE,healthcare,"Port Russellside, Ethiopia",premium
43,136,5/25/2024 16:26,error,42,1.907778006,1,FALSE,education,"Sherryfort, Anguilla",free
44,160,8/24/2024 21:38,feedback,99,1.571451201,4,TRUE,education,"Wongfort, Gambia",enterprise
45,162,3/29/2024 16:18,feedback,16,2.176522551,4,FALSE,education,"Lake Pattymouth, Mauritius",free
46,112,2/16/2024 14:50,error,30,2.609681931,5,FALSE,finance,"Petersonfort, France",free
47,127,7/12/2024 19:39,query,25,2.034982464,3,FALSE,education,"Robertberg, Denmark",premium
48,150,2/2/2024 1:53,query,68,1.629263573,4,TRUE,healthcare,"Hintontown, Congo",premium
49,107,1/27/2024 13:09,feedback,68,1.89411124,2,FALSE,finance,"Andreaton, Panama",enterprise
50,153,2/6/2024 12:44,query,40,2.218258553,3,TRUE,education,"Derekstad, Palestinian Territory",enterprise
51,153,4/30/2024 4:30,error,35,1.200770225,4,FALSE,finance,"Nicholasland, Vietnam",premium
52,190,7/7/2024 23:22,feedback,94,2.207709851,1,FALSE,healthcare,"Port Gregoryberg, Vietnam",free
53,137,1/17/2024 5:39,query,10,1.372576098,5,FALSE,healthcare,"South Mary, Wallis and Futuna",premium
54,141,5/12/2024 19:42,error,17,1.189136516,4,FALSE,healthcare,"New Brianna, Sao Tome and Principe",premium
55,105,8/21/2024 4:58,feedback,67,2.879059619,4,FALSE,finance,"Johnsonland, Norfolk Island",premium
56,172,1/13/2024 5:50,error,34,1.151437951,4,TRUE,education,"Phamhaven, French Guiana",premium
57,159,2/21/2024 15:14,query,86,1.291220133,5,TRUE,finance,"Lake Johnport, Heard Island and McDonald Islands",enterprise
58,139,8/7/2024 8:04,feedback,29,1.707281623,2,FALSE,healthcare,"Port Michaelhaven, Congo",enterprise
59,108,4/4/2024 16:25,feedback,29,1.778181233,3,FALSE,healthcare,"Christopherhaven, Ireland",free
60,127,8/30/2024 2:54,query,12,1.042362425,1,FALSE,education,"North Hannah, Poland",premium
61,119,4/30/2024 17:07,error,56,2.876289326,3,FALSE,healthcare,"Vincentfurt, Switzerland",enterprise
62,126,1/3/2024 10:16,query,75,1.650440666,4,TRUE,finance,"Port Marissa, Malaysia",free
63,168,8/3/2024 12:44,feedback,71,2.456245332,4,TRUE,education,"New Jessica, Jamaica",premium
64,188,6/11/2024 8:19,feedback,39,1.350880219,1,FALSE,education,"Wilsonchester, Timor-Leste",premium
65,121,8/8/2024 15:46,error,44,2.534895424,5,FALSE,healthcare,"Pamelafort, Gabon",free
66,138,8/3/2024 15:52,query,73,1.095769712,1,FALSE,healthcare,"Port Coltonfort, Tonga",free
67,121,4/9/2024 1:52,feedback,10,1.748145637,5,FALSE,finance,"East Jamesmouth, Liberia",free
68,180,8/28/2024 3:51,feedback,62,2.292553022,3,TRUE,healthcare,"Hernandezview, Estonia",premium
69,126,8/4/2024 11:24,error,36,1.139647353,1,FALSE,finance,"Foleyport, Senegal",enterprise
70,102,1/30/2024 1:46,error,48,1.58277932,2,FALSE,healthcare,"North Valerieland, Andorra",free
71,196,8/21/2024 19:46,error,43,1.002481725,4,FALSE,healthcare,"South Matthewburgh, Germany",free
72,162,6/11/2024 21:37,feedback,32,1.073428752,1,FALSE,healthcare,"Kathrynview, Peru",enterprise
73,152,5/3/2024 16:40,error,81,1.8387575,1,FALSE,finance,"Ryanstad, Vanuatu",free
74,131,6/20/2024 7:42,query,90,1.289788604,2,TRUE,healthcare,"Phillipberg, Italy",free
75,163,6/8/2024 12:26,error,37,2.763100178,2,FALSE,finance,"Morrisonchester, Guam",enterprise
76,109,7/20/2024 14:34,query,98,1.62714364,5,TRUE,healthcare,"East Melissa, Philippines",premium
77,143,4/17/2024 13:13,feedback,92,1.865771285,3,FALSE,education,"Jamesbury, Azerbaijan",enterprise
78,119,1/28/2024 0:50,error,16,1.945830512,5,FALSE,healthcare,"South William, Reunion",enterprise
79,161,8/12/2024 17:44,query,99,2.929455682,1,TRUE,healthcare,"Wilcoxborough, Belarus",free
80,148,8/20/2024 1:51,error,97,1.311449917,4,FALSE,healthcare,"South Brianchester, Belgium",premium
81,153,8/22/2024 17:14,error,98,2.371877249,4,FALSE,healthcare,"Lake James, Brazil",enterprise
82,137,4/23/2024 1:58,query,65,2.982371006,2,FALSE,education,"Hurleybury, Turkmenistan",premium
83,151,8/8/2024 7:27,feedback,81,2.980622162,4,TRUE,healthcare,"South Christinafort, Gibraltar",enterprise
84,148,3/6/2024 6:25,feedback,44,2.374219514,3,TRUE,healthcare,"Costashire, Guinea",free
85,158,6/9/2024 12:27,query,34,2.549255905,4,TRUE,education,"North Susanborough, Rwanda",premium
86,129,2/25/2024 3:24,query,90,1.066659985,5,FALSE,healthcare,"West Joel, Saudi Arabia",premium
87,158,3/17/2024 8:15,query,70,1.307276768,1,TRUE,healthcare,"Port Kelly, Kiribati",enterprise
88,114,3/12/2024 17:41,feedback,86,1.897825018,1,TRUE,healthcare,"South Daniel, Germany",premium
89,144,5/5/2024 11:51,error,12,1.190386152,3,FALSE,education,"East Jordan, South Africa",premium
90,176,7/25/2024 3:17,feedback,33,1.989635653,3,TRUE,healthcare,"New Elizabeth, Dominican Republic",premium
91,114,7/16/2024 12:23,feedback,39,1.079969317,5,FALSE,healthcare,"New John, Iran",free
92,197,6/16/2024 18:14,query,48,1.708302021,1,TRUE,healthcare,"New Laurafort, Saint Martin",enterprise
93,113,7/27/2024 7:29,feedback,10,2.848590229,5,FALSE,healthcare,"Port Ricky, Suriname",enterprise
94,182,6/5/2024 0:48,feedback,98,1.937070274,4,FALSE,healthcare,"South Brianna, Sao Tome and Principe",enterprise
95,105,1/2/2024 23:57,error,94,1.481245617,3,FALSE,education,"North Scottview, Lebanon",enterprise
96,109,1/9/2024 0:38,feedback,60,2.054922076,4,FALSE,finance,"North Carol, Bahamas",enterprise
97,159,5/12/2024 2:36,error,15,2.869168865,5,FALSE,finance,"West Robert, Bulgaria",enterprise
98,182,5/13/2024 22:25,error,81,2.691080145,2,FALSE,education,"Dickersonberg, Tanzania",enterprise
99,104,3/19/2024 2:21,feedback,69,2.099942599,5,FALSE,education,"North Shawn, Chile",free
100,125,7/28/2024 22:34,feedback,92,2.75659042,3,FALSE,finance,"Michaelfort, Ghana",enterprise
101,125,8/24/2024 3:58,error,68,1.367083697,5,TRUE,healthcare,"Lawsonmouth, Korea",free
102,100,4/20/2024 6:56,feedback,89,1.010546572,4,TRUE,finance,"Port Georgebury, Central African Republic",enterprise
103,185,3/3/2024 5:54,feedback,93,2.676085383,3,FALSE,finance,"Ashleymouth, Spain",enterprise
104,133,3/27/2024 14:32,query,17,2.309271703,5,FALSE,education,"West Gailton, Guadeloupe",premium
105,106,1/3/2024 23:42,query,32,2.080182343,5,TRUE,education,"Victoriafurt, Guinea-Bissau",enterprise
106,153,2/27/2024 13:54,error,90,2.48342389,4,FALSE,healthcare,"East Patrick, Northern Mariana Islands",enterprise
107,155,6/7/2024 7:27,error,28,2.517776055,5,TRUE,healthcare,"Thomasville, Poland",premium
108,133,2/9/2024 13:26,feedback,52,1.374068781,4,TRUE,education,"Morseborough, Vietnam",free
109,120,4/23/2024 7:47,error,29,1.675485792,3,FALSE,finance,"South Randallside, Chile",free
110,155,8/6/2024 20:19,error,74,1.438448596,3,TRUE,education,"Port Codyview, Belgium",premium
111,171,3/9/2024 22:25,query,99,2.165885336,4,FALSE,education,"Colestad, Lesotho",premium
112,118,9/6/2024 4:02,error,49,2.328457815,1,FALSE,finance,"North Vincent, India",enterprise
113,129,8/20/2024 1:06,query,98,2.687767443,4,FALSE,finance,"Bradfordberg, Senegal",enterprise
114,172,1/19/2024 11:10,query,97,2.490623143,4,FALSE,education,"Andrewmouth, Greece",free
115,121,1/25/2024 6:22,error,59,2.777398743,2,TRUE,healthcare,"West Sandra, Cape Verde",enterprise
116,115,1/25/2024 10:46,query,60,1.286133134,4,FALSE,finance,"Rubiofort, Cuba",enterprise
117,127,8/18/2024 11:51,query,71,2.436987853,2,TRUE,finance,"East Christopherton, Cameroon",premium
118,108,2/8/2024 20:04,feedback,63,2.4369263,3,FALSE,finance,"Bakerside, Brunei Darussalam",enterprise
119,140,5/14/2024 6:28,feedback,41,1.073024483,4,FALSE,education,"North Randy, Cyprus",enterprise
120,162,6/1/2024 4:38,error,85,1.979213934,5,FALSE,healthcare,"East Nicole, Tokelau",premium
121,109,8/3/2024 2:45,query,28,1.814223066,4,TRUE,healthcare,"Cynthiaville, Vietnam",enterprise
122,119,9/7/2024 1:30,error,64,1.053177041,3,FALSE,education,"Raymondfurt, Comoros",premium
123,104,7/15/2024 8:36,feedback,32,1.507473538,1,FALSE,education,"Ryanstad, Tuvalu",premium
124,157,9/2/2024 1:01,error,81,2.436839484,4,TRUE,education,"Lake Ronaldfurt, Finland",premium
125,160,3/14/2024 9:28,error,66,2.770704153,5,FALSE,finance,"Stevenland, Vanuatu",enterprise
126,104,8/31/2024 0:57,query,86,2.182781014,4,FALSE,education,"South Allen, Moldova",premium
127,167,1/20/2024 8:14,error,30,2.159564415,2,TRUE,healthcare,"Dakotaport, Nepal",free
128,179,5/5/2024 3:50,feedback,29,1.543970992,5,TRUE,finance,"Davidport, China",enterprise
129,107,1/9/2024 1:41,error,55,1.3698179,3,TRUE,finance,"West Josephton, Timor-Leste",free
130,133,4/28/2024 1:15,query,22,1.128269762,1,TRUE,healthcare,"Jakefurt, Angola",enterprise
131,122,5/18/2024 11:38,query,22,2.308897002,4,FALSE,education,"Trevinoshire, Syrian Arab Republic",free
132,156,2/5/2024 6:26,query,10,1.54472724,2,FALSE,finance,"Adamston, Burkina Faso",enterprise
133,126,1/13/2024 17:54,error,41,1.194216872,4,FALSE,finance,"Port Janetshire, Belarus",enterprise
134,139,1/2/2024 13:10,error,44,1.820901482,1,TRUE,education,"Lake Christopherstad, Zimbabwe",free
135,156,5/30/2024 0:28,query,55,1.439282657,1,TRUE,finance,"Roberthaven, Ireland",enterprise
136,112,3/15/2024 3:22,error,99,2.299253978,4,TRUE,education,"Port Staceymouth, Vietnam",free
137,172,1/7/2024 20:50,query,88,1.787222232,1,TRUE,healthcare,"Stephenborough, Bahrain",free
138,164,8/1/2024 6:15,error,79,1.636024607,4,FALSE,finance,"Ianmouth, Bangladesh",enterprise
139,191,5/4/2024 23:02,feedback,39,1.59067869,4,TRUE,healthcare,"New Josephton, Dominica",free
140,160,3/23/2024 21:17,error,46,1.868737381,4,TRUE,finance,"Port Amy, Mongolia",enterprise
141,177,3/1/2024 18:01,query,60,1.005953993,1,TRUE,finance,"Nicolefort, Lithuania",free
142,152,6/5/2024 1:51,feedback,36,2.237239111,2,FALSE,education,"New Michael, Portugal",enterprise
143,138,1/25/2024 22:24,query,51,1.42401051,5,FALSE,finance,"South Elijahport, Marshall Islands",free
144,117,1/3/2024 19:09,feedback,96,1.215038825,4,TRUE,education,"West Candace, Trinidad and Tobago",premium
145,130,8/7/2024 7:59,query,22,2.59756784,4,TRUE,finance,"Port Lawrencefort, Argentina",enterprise
146,152,3/12/2024 12:54,error,64,2.991319632,4,FALSE,healthcare,"Scottfurt, Kenya",enterprise
147,181,1/23/2024 3:04,query,24,1.494203984,5,FALSE,finance,"Gonzalezton, Nauru",premium
148,123,5/7/2024 6:05,error,34,1.88717749,1,FALSE,healthcare,"South Melissastad, Tokelau",premium
149,132,4/14/2024 0:31,query,78,2.248312604,2,TRUE,healthcare,"Camachostad, Slovakia (Slovak Republic)",premium
150,177,7/18/2024 13:17,feedback,59,2.948606854,5,FALSE,healthcare,"South Debra, Australia",free
151,168,9/8/2024 13:25,query,17,1.058999093,5,FALSE,education,"Lake Deborah, Singapore",enterprise
152,135,6/30/2024 11:06,query,14,1.755598118,5,TRUE,healthcare,"South Connieview, Slovakia (Slovak Republic)",enterprise
153,144,1/21/2024 1:48,query,56,2.695015603,5,TRUE,healthcare,"New Lori, Indonesia",enterprise
154,198,1/20/2024 7:56,error,97,2.61463826,1,FALSE,finance,"Ericachester, Uganda",enterprise
155,148,9/4/2024 16:44,error,16,1.891427534,3,FALSE,healthcare,"East Joshuatown, Finland",premium
156,198,3/10/2024 3:56,error,81,1.641847669,2,TRUE,healthcare,"South Martinhaven, Suriname",premium
157,184,6/23/2024 5:43,feedback,19,2.16668163,5,FALSE,healthcare,"Wrightfort, Korea",free
158,167,2/19/2024 18:37,error,62,2.926332127,5,FALSE,healthcare,"Reedburgh, United States Minor Outlying Islands",premium
159,128,7/19/2024 4:18,error,69,1.612457434,1,FALSE,healthcare,"New Eddieview, Burkina Faso",enterprise
160,177,6/6/2024 14:11,query,44,2.246635202,3,TRUE,finance,"New Jeffrey, Belize",premium
161,175,2/10/2024 7:55,query,90,1.666566618,1,TRUE,education,"Jacobchester, Gabon",free
162,151,5/5/2024 20:03,feedback,67,2.713486103,3,TRUE,healthcare,"South Felicia, India",premium
163,148,4/2/2024 20:32,query,30,1.014616342,3,FALSE,healthcare,"Madisonville, Estonia",enterprise
164,139,1/23/2024 10:01,query,19,1.510231803,5,FALSE,finance,"East Adam, Malta",enterprise
165,169,5/17/2024 7:32,feedback,23,2.257110734,5,TRUE,finance,"North Dianaborough, Pakistan",premium
166,193,4/7/2024 13:24,feedback,37,1.153937764,2,FALSE,healthcare,"Lake Daniel, Brunei Darussalam",enterprise
167,150,1/1/2024 4:05,feedback,10,2.108550314,4,FALSE,healthcare,"East Billy, Kuwait",enterprise
168,153,6/30/2024 22:34,query,76,1.280225086,4,FALSE,healthcare,"New Mary, Trinidad and Tobago",free
169,115,6/17/2024 21:55,error,84,1.087988158,2,FALSE,finance,"Schneidermouth, Iceland",premium
170,136,3/20/2024 19:52,query,15,2.007004367,2,FALSE,finance,"Port Michaelhaven, Bahamas",premium
171,130,7/15/2024 0:38,feedback,65,1.264798461,5,FALSE,finance,"Port Melinda, Cayman Islands",premium
172,127,7/9/2024 21:41,error,42,1.31420748,5,FALSE,finance,"Mirandaburgh, Samoa",enterprise
173,164,3/25/2024 10:53,query,81,1.706803023,3,TRUE,finance,"Steventon, Czech Republic",free
174,183,4/24/2024 15:25,feedback,77,1.846627198,4,FALSE,education,"New Kevinchester, Maldives",free
175,108,1/25/2024 9:09,query,66,2.885825566,3,FALSE,finance,"West Sherry, Lao People's Democratic Republic",free
176,197,6/24/2024 10:12,feedback,45,1.408689792,2,FALSE,education,"Port Matthewside, Antigua and Barbuda",enterprise
177,142,3/28/2024 10:13,error,81,2.07458739,1,TRUE,education,"West Belinda, Bhutan",premium
178,112,8/30/2024 12:37,feedback,19,2.781773579,5,FALSE,education,"Pricestad, Botswana",enterprise
179,121,5/14/2024 3:18,feedback,23,1.036855455,4,TRUE,finance,"Catherineland, Sweden",free
180,110,2/18/2024 3:41,error,58,2.017980423,3,TRUE,finance,"Lopezborough, Suriname",enterprise
181,183,8/13/2024 15:03,query,33,1.86383994,1,TRUE,finance,"East Kelly, New Zealand",free
182,123,4/5/2024 1:28,feedback,53,1.707089134,3,TRUE,finance,"Nicholasbury, Heard Island and McDonald Islands",premium
183,146,3/19/2024 10:45,query,30,2.809496741,5,TRUE,education,"Rhondaville, Barbados",free
184,126,8/18/2024 22:22,query,83,2.104330526,2,FALSE,finance,"Stephaniehaven, Trinidad and Tobago",enterprise
185,106,3/8/2024 21:13,query,37,1.846423072,4,FALSE,education,"Stuartstad, Slovenia",premium
186,167,7/8/2024 5:32,feedback,69,2.74140193,1,FALSE,education,"West Susan, Chile",enterprise
187,181,1/22/2024 22:03,query,18,1.389324707,2,FALSE,finance,"Lake Christopher, Vietnam",free
188,181,5/10/2024 5:42,query,35,2.083571996,5,FALSE,finance,"Candiceton, Comoros",enterprise
189,188,2/23/2024 23:48,query,96,2.365965207,3,FALSE,education,"East Abigail, Italy",free
190,199,5/5/2024 0:34,feedback,33,1.347900974,1,TRUE,education,"Port Victoriamouth, Seychelles",free
191,183,5/19/2024 1:31,error,19,2.291821941,2,FALSE,finance,"Sellersmouth, Bouvet Island (Bouvetoya)",enterprise
192,176,2/8/2024 21:11,error,13,1.064354761,2,TRUE,healthcare,"Travisland, British Virgin Islands",premium
193,156,8/1/2024 12:08,feedback,18,1.423771003,4,TRUE,finance,"East Elizabethport, Ireland",premium
194,106,8/29/2024 7:30,feedback,88,2.922163827,4,FALSE,healthcare,"Carlaville, Thailand",free
195,189,3/13/2024 16:34,error,19,2.639616144,2,FALSE,healthcare,"Port Cory, United Arab Emirates",enterprise
196,165,3/17/2024 20:05,query,58,1.221334101,5,FALSE,healthcare,"Jonesview, Russian Federation",premium
197,178,4/25/2024 4:57,error,35,1.193224138,4,FALSE,finance,"Hunterview, Georgia",premium
198,140,4/4/2024 7:22,feedback,10,1.981478983,5,FALSE,education,"Meghanland, Slovakia (Slovak Republic)",free
199,158,5/8/2024 23:34,query,36,1.238348415,1,TRUE,healthcare,"East Danielborough, Northern Mariana Islands",free
200,126,8/9/2024 0:15,error,44,2.620868017,5,FALSE,healthcare,"Fischerville, Cameroon",premium
201,155,1/20/2024 23:22,feedback,29,1.611790188,3,FALSE,education,"East Sandra, Nicaragua",free
202,190,8/18/2024 16:16,query,35,1.066752553,4,FALSE,education,"Ramirezberg, Romania",premium
203,152,4/30/2024 8:17,query,31,2.193426299,4,FALSE,finance,"Jessicabury, Wallis and Futuna",free
204,159,4/24/2024 16:00,feedback,65,1.132373576,5,TRUE,healthcare,"Jasonton, Swaziland",enterprise
205,198,7/31/2024 20:19,feedback,21,1.643890398,5,FALSE,healthcare,"South Randall, Portugal",enterprise
206,135,8/19/2024 1:12,feedback,74,2.258659669,4,FALSE,healthcare,"West Ann, South Georgia and the South Sandwich Islands",free
207,197,9/10/2024 23:48,error,86,1.146408323,5,FALSE,education,"Maryview, Zimbabwe",free
208,190,9/8/2024 6:25,error,44,1.963426954,5,TRUE,finance,"New Johnburgh, Antigua and Barbuda",premium
209,142,7/8/2024 8:05,query,66,1.051333312,3,TRUE,healthcare,"Rodriguezmouth, Serbia",enterprise
210,107,3/3/2024 3:31,query,54,2.180158478,3,FALSE,finance,"South John, Cook Islands",enterprise
211,118,2/7/2024 1:28,error,46,1.659287619,2,FALSE,healthcare,"Catherineview, Zimbabwe",free
212,197,2/27/2024 1:28,feedback,63,2.282868447,3,FALSE,education,"Davidstad, Guyana",free
213,108,8/3/2024 9:37,error,15,2.674606919,2,TRUE,finance,"Lake Franciscoburgh, Guatemala",premium
214,100,1/5/2024 17:15,error,21,2.812102289,2,TRUE,finance,"Michaelberg, Angola",free
215,199,4/6/2024 9:13,feedback,90,1.034229191,4,TRUE,education,"Campbellton, Niue",premium
216,132,5/12/2024 10:13,error,59,1.458226016,4,FALSE,healthcare,"North Tyler, Taiwan",enterprise
217,123,8/10/2024 17:06,error,66,1.464078644,2,FALSE,education,"South Amanda, Maldives",enterprise
218,107,9/13/2024 3:20,error,25,2.970925175,4,FALSE,education,"Murphyhaven, Netherlands",premium
219,167,7/27/2024 10:20,feedback,64,1.128631416,4,TRUE,finance,"Knappside, Guyana",premium
220,190,4/21/2024 4:31,feedback,15,1.240636478,5,TRUE,healthcare,"North Edwin, Portugal",enterprise
221,103,6/10/2024 18:37,feedback,79,2.480318984,4,FALSE,healthcare,"Port Ryan, Mauritius",free
222,168,8/6/2024 4:36,error,55,2.632862951,3,FALSE,education,"Harpershire, Saint Helena",free
223,179,6/22/2024 2:02,error,56,1.938372602,3,FALSE,healthcare,"North Ray, South Africa",free
224,166,4/9/2024 20:59,error,65,1.863726307,4,FALSE,education,"South Kevinside, Chile",free
225,112,9/7/2024 21:27,query,41,2.746937587,3,TRUE,education,"Port James, Croatia",premium
226,121,8/14/2024 0:44,query,56,2.745209016,3,TRUE,education,"Port Michellemouth, Vietnam",free
227,115,1/25/2024 18:03,error,25,1.284274004,4,FALSE,education,"Johnstonshire, Bahrain",free
228,161,7/16/2024 7:20,feedback,33,1.780915402,4,FALSE,education,"Garrettmouth, Isle of Man",premium
229,191,1/20/2024 11:45,error,54,2.740458493,4,FALSE,healthcare,"Porterport, Russian Federation",enterprise
230,120,5/29/2024 22:20,error,42,2.616329379,5,TRUE,finance,"Jasmineburgh, Spain",premium
231,141,9/2/2024 0:18,feedback,95,1.242004026,4,TRUE,education,"Clarkview, British Indian Ocean Territory (Chagos Archipelago)",free
232,145,7/20/2024 4:36,query,69,1.142595438,4,FALSE,finance,"East Anthony, Christmas Island",free
233,171,5/28/2024 5:15,query,24,2.872885571,3,FALSE,finance,"West Gary, Albania",premium
234,168,5/7/2024 5:30,error,58,2.486921167,4,TRUE,finance,"Pennyport, Poland",free
235,188,1/16/2024 0:43,query,39,2.430622772,1,FALSE,education,"West Brandy, Wallis and Futuna",premium
236,196,8/31/2024 6:17,feedback,77,2.387946866,1,FALSE,healthcare,"Port Kelseyfurt, Mexico",premium
237,192,8/13/2024 1:56,error,55,2.951412879,4,FALSE,education,"Thomasbury, Guyana",free
238,125,1/22/2024 2:14,error,46,1.897301752,1,TRUE,healthcare,"Wrightshire, American Samoa",premium
239,104,5/2/2024 20:48,feedback,78,2.677249763,4,TRUE,finance,"Lisabury, American Samoa",premium
240,199,4/27/2024 1:29,error,10,2.433142151,5,TRUE,education,"Coopertown, Ireland",premium
241,104,6/22/2024 0:43,query,18,2.392878775,5,FALSE,education,"East Amyland, Marshall Islands",premium
242,192,1/26/2024 11:59,feedback,26,2.263612518,1,TRUE,education,"Obrienville, Saint Kitts and Nevis",premium
243,156,8/21/2024 19:46,query,83,2.955642876,5,TRUE,healthcare,"South Gregorymouth, Guernsey",enterprise
244,181,8/15/2024 18:40,query,99,1.956073922,5,FALSE,healthcare,"Vincentport, Haiti",enterprise
245,148,2/14/2024 16:36,feedback,63,2.366347924,2,FALSE,healthcare,"South Samanthaborough, Malawi",enterprise
246,141,2/6/2024 12:07,query,23,2.440437984,2,TRUE,healthcare,"Port Hannah, Saint Kitts and Nevis",premium
247,116,3/10/2024 16:21,error,85,2.792430766,2,TRUE,finance,"East Brandyshire, San Marino",premium
248,178,1/10/2024 14:49,query,30,1.921349061,2,FALSE,healthcare,"Frankberg, Paraguay",enterprise
249,130,4/19/2024 7:30,error,71,1.885530434,4,FALSE,finance,"East Louis, Tunisia",free
250,192,5/12/2024 14:27,feedback,33,2.091349869,3,FALSE,healthcare,"New Brandonhaven, Guyana",premium
251,113,7/12/2024 17:59,error,74,2.529264855,5,FALSE,education,"Sarahville, Nauru",free
252,119,6/8/2024 17:06,error,62,2.587930193,3,FALSE,education,"West Dianefort, Puerto Rico",premium
253,185,4/2/2024 13:45,feedback,71,2.869803581,3,TRUE,healthcare,"Lake Elizabeth, Guam",premium
254,111,3/23/2024 20:31,error,25,2.181642581,2,TRUE,finance,"Sandovalland, Iraq",premium
255,108,4/18/2024 3:51,error,19,2.820141001,1,TRUE,education,"South Cassandra, Montenegro",premium
256,184,4/15/2024 1:56,query,83,2.826512363,5,FALSE,finance,"Antoniostad, Chad",enterprise
257,188,1/6/2024 5:41,query,86,2.438402655,5,FALSE,education,"North Julie, Mayotte",premium
258,143,7/29/2024 5:16,error,64,1.444517414,2,TRUE,finance,"West Ryantown, Korea",free
